L        TxT           TxW1         W1xW1       
2     1.478290e-10  5.502131e-09  7.330809e-07
3     6.995619e-11  3.681193e-09  8.904334e-07
4     3.968396e-11  2.690382e-09  1.040283e-06
5     2.530686e-11  2.076409e-09  1.177882e-06
6     1.751000e-11  1.662837e-09  1.302378e-06
7     1.285944e-11  1.366329e-09  1.413790e-06
8     9.871545e-12  1.144980e-09  1.513388e-06
9     7.845000e-12  9.748683e-10  1.602388e-06
10    6.407382e-12  8.402061e-10  1.680797e-06
11    5.347433e-12  7.313732e-10  1.750370e-06
12    4.549750e-12  6.417642e-10  1.810819e-06
13    3.927684e-12  5.676418e-10  1.863906e-06
14    3.433180e-12  5.054172e-10  1.909410e-06
15    3.030140e-12  4.525546e-10  1.948714e-06
16    2.702782e-12  4.069539e-10  1.981914e-06
17    2.433337e-12  3.674230e-10  2.009636e-06
18    2.206379e-12  3.330795e-10  2.032520e-06
19    2.015083e-12  3.030722e-10  2.050793e-06
20    1.849242e-12  2.766863e-10  2.064720e-06
21    1.705666e-12  2.533179e-10  2.074818e-06
22    1.580556e-12  2.324908e-10  2.081541e-06
23    1.470269e-12  2.138662e-10  2.085145e-06
24    1.372952e-12  1.971731e-10  2.085859e-06
25    1.286798e-12  1.821828e-10  2.083976e-06
26    1.209563e-12  1.686915e-10  2.079769e-06
27    1.140481e-12  1.564904e-10  2.073473e-06
28    1.078262e-12  1.454058e-10  2.065278e-06
29    1.021927e-12  1.353224e-10  2.055278e-06
30    9.709091e-13  1.261394e-10  2.043589e-06
31    9.240420e-13  1.177375e-10  2.030463e-06
32    8.815115e-13  1.100184e-10  2.016125e-06
33    8.424030e-13  1.029331e-10  2.000709e-06
34    8.063256e-13  9.643788e-11  1.984323e-06
35    7.733441e-13  9.046408e-11  1.967084e-06
36    7.425424e-13  8.495002e-11  1.949103e-06
37    7.140379e-13  7.985829e-11  1.930482e-06
38    6.876683e-13  7.515667e-11  1.911312e-06
39    6.631699e-13  7.080668e-11  1.891667e-06
40    6.403230e-13  6.677225e-11  1.871610e-06
41    6.189341e-13  6.302243e-11  1.851204e-06
42    5.988765e-13  5.953257e-11  1.830523e-06
43    5.800417e-13  5.628136e-11  1.809635e-06
44    5.623481e-13  5.324969e-11  1.788599e-06
45    5.457275e-13  5.042039e-11  1.767464e-06
46    5.300786e-13  4.777782e-11  1.746275e-06
47    5.153176e-13  4.530729e-11  1.725080e-06
48    5.013664e-13  4.299538e-11  1.703922e-06
49    4.881601e-13  4.082999e-11  1.682837e-06
50    4.756624e-13  3.880016e-11  1.661856e-06
51    4.638403e-13  3.689593e-11  1.641005e-06
52    4.526284e-13  3.510802e-11  1.620310e-06
53    4.419626e-13  3.342800e-11  1.599793e-06
54    4.318005e-13  3.184816e-11  1.579472e-06
55    4.221078e-13  3.036148e-11  1.559363e-06
56    4.128836e-13  2.896153e-11  1.539478e-06
57    4.041231e-13  2.764229e-11  1.519829e-06
58    3.957845e-13  2.639821e-11  1.500426e-06
59    3.878198e-13  2.522421e-11  1.481276e-06
60    3.802010e-13  2.411566e-11  1.462385e-06
61    3.729089e-13  2.306825e-11  1.443759e-06
62    3.659252e-13  2.207800e-11  1.425408e-06
63    3.592359e-13  2.114125e-11  1.407341e-06
64    3.528244e-13  2.025461e-11  1.389567e-06
65    3.466799e-13  1.941494e-11  1.372090e-06
66    3.407943e-13  1.861932e-11  1.354916e-06
67    3.351494e-13  1.786491e-11  1.338046e-06
68    3.297249e-13  1.714905e-11  1.321481e-06
69    3.245010e-13  1.646928e-11  1.305220e-06
70    3.194623e-13  1.582333e-11  1.289262e-06
71    3.145957e-13  1.520911e-11  1.273605e-06
72    3.099114e-13  1.462481e-11  1.258243e-06
73    3.054177e-13  1.406877e-11  1.243167e-06
74    3.011062e-13  1.353942e-11  1.228372e-06
75    2.969677e-13  1.303532e-11  1.213848e-06
76    2.929868e-13  1.255510e-11  1.199591e-06
77    2.891378e-13  1.209742e-11  1.185598e-06
78    2.854121e-13  1.166100e-11  1.171865e-06
79    2.818099e-13  1.124466e-11  1.158391e-06
80    2.783281e-13  1.084729e-11  1.145173e-06
